"";"Kraj";"time";"Regiony";"Wynik"
"37";"EE";2014;"L?una-Eesti, Kirde-Eesti, Lääne-Eesti, Kesk-Eesti";4
"38";"EL";2014;"Thessaloniki, Voreios Tomeas Athinon, Anatoliki Attiki";2,04938156793453
"39";"ES";2014;"Barcelona, Valencia / Val?ncia";1,96620536738283
"40";"FI";2014;"Pirkanmaa, Varsinais-Suomi, Pohjois-Pohjanmaa, Keski-Suomi, Satakunta, Pohjois-Savo, Pohjanmaa, Päijät-Häme";7,20937700706487
"41";"FR";2014;"Hauts-de-Seine, Rhône";1,69278645833333
"42";"HR";2014;"Primorsko-goranska zupanija, Splitsko-dalmatinska zupanija, Istarska zupanija, Zagrebacka zupanija, Osjecko-baranjska zupanija";4,79307467667918
"43";"HU";2014;"Pest, Gyor-Moson-Sopron, Borsod-Abaúj-Zemplén, Fejér, Hajdú-Bihar, Bács-Kiskun, Szabolcs-Szatmár-Bereg, Csongrád";7,34671532846715
"44";"IE";2014;"South-West (IE), Mid-East, South-East (IE), West, Mid-West";4,84032989690722
"45";"IT";2014;"Roma, Torino";1,13206493792698
"46";"LT";2014;"Kauno apskritis, Klaipedos apskritis, Siauliu apskritis, Panevezio apskritis";3,19400272603362
"47";"LV";2014;"Pieriga, Kurzeme, Zemgale, Latgale, Vidzeme";5
"48";"MK";2014;"Pelagoniski, Jugoistocen, Istocen, Vardarski, Jugozapaden";4,69822485207101
"49";"MT";2014;"Gozo and Comino / Ghawdex u Kemmuna, Extra-Regio NUTS 3";2
"50";"NL";2014;"Groot-Rijnmond, Utrecht";1,60055452228422
"51";"NO";2014;"Oslo, Hordaland";1,32772473768787
"52";"PL";2014;"Miasto Kraków, Miasto Poznan, Miasto Wroclaw, Region Trojmiejski, Region Katowicki";4,65664137489716
"53";"PT";2014;"Área Metropolitana do Porto, Algarve, Regi?o de Coimbra, Regi?o de Aveiro, Ave, Cávado, Oeste, Regi?o de Leiria";7,01178416373785
"54";"RO";2014;"Constanta, Prahova, Cluj, Timis, Brasov, Iasi";5,66407934454506
"55";"SE";2014;"Västra Götalands län, Sk?ne län, Östergötlands län";2,91340170546209
"56";"SI";2014;"Podravska, Savinjska, Gorenjska, Jugovzhodna Slovenija";3,56199351701783
"57";"SK";2014;"Trnavský kraj, Kosický kraj, Nitriansky kraj";2,42833213687485
"58";"UK";2014;"Westminster, Berkshire";1,55332832205796
"59";"AL";2008;"Fier, Durrës, Elbasan, Vlorë, Shkodër, Korcë";5,22064777327935
"60";"AT";2008;"Linz-Wels, Graz, Salzburg und Umgebung, Wiener Umland/Südteil, Innsbruck";4,60386745517695
"61";"BE";2008;"Arr. Antwerpen, Arr. Halle-Vilvoorde";1,99871266735324
"62";"BG";2008;"Plovdiv, Varna, Burgas, Stara Zagora, Sofia, Blagoevgrad, Ruse, Pazardzhik, Veliko Tarnovo, Pleven";9,24618991793669
"63";"CZ";2008;"Stredoceský kraj, Jihomoravský kraj, Moravskoslezský kraj";2,43676452372105
"64";"DE";2008;"Hamburg, München, Kreisfreie Stadt";1,0512141334746
"65";"DK";2008;"?stjylland, K?benhavns omegn";1,23514647010231
"66";"EE";2008;"L?una-Eesti, Lääne-Eesti, Kirde-Eesti, Kesk-Eesti";4
"67";"EL";2008;"Thessaloniki, Voreios Tomeas Athinon, Peiraias, Nisoi";2,06867973479389
"68";"ES";2008;"Barcelona, Valencia / Val?ncia";1,8165323272166
"69";"FI";2008;"Pirkanmaa, Varsinais-Suomi, Pohjois-Pohjanmaa, Keski-Suomi, Satakunta, Pohjois-Savo, Pohjanmaa";6,4972294654498
"70";"FR";2008;"Hauts-de-Seine, Nord (FR)";1,7122991917958
"71";"HR";2008;"Splitsko-dalmatinska zupanija, Primorsko-goranska zupanija, Osjecko-baranjska zupanija, Istarska zupanija, Zagrebacka zupanija";4,56792873051225
"72";"HU";2008;"Pest, Gyor-Moson-Sopron, Borsod-Abaúj-Zemplén, Fejér, Hajdú-Bihar, Bács-Kiskun, Komárom-Esztergom, Csongrád";7,99194991055456
"73";"IE";2008;"South-West (IE), Mid-East, South-East (IE), Border";3,89133924209645
"74";"IT";2008;"Milano, Torino";1,0152629328773
"75";"LT";2008;"Kauno apskritis, Klaipedos apskritis, Siauliu apskritis, Panevezio apskritis";3,0462226640159
"76";"LV";2008;"Pieriga, Kurzeme, Latgale, Zemgale, Vidzeme";5
"77";"MK";2008;"Pelagoniski, Jugozapaden, Poloski, Istocen, Jugoistocen, Vardarski";5,12280701754386
"78";"MT";2008;"Gozo and Comino / Ghawdex u Kemmuna, Extra-Regio NUTS 3";2
"79";"NL";2008;"Groot-Rijnmond, Utrecht";1,35233358837031
"80";"PL";2008;"Miasto Kraków, Miasto Poznan, Region Katowicki, Region Trojmiejski, Miasto Wroclaw";4,4241386925795
"81";"PT";2008;"Área Metropolitana do Porto, Algarve, Regi?o de Coimbra, Regi?o de Aveiro, Ave, Cávado, Oeste, Regi?o de Leiria";7,66489143793527
"82";"RO";2008;"Timis, Cluj, Prahova, Constanta, Arges, Brasov, Iasi";6,49614085865895
"83";"SE";2008;"Västra Götalands län, Sk?ne län, Östergötlands län";2,2637943519189
"84";"SI";2008;"Podravska, Savinjska, Gorenjska, Jugovzhodna Slovenija";3,46836935166994
"85";"SK";2008;"Trnavský kraj, Kosický kraj, Zilinský kraj";2,2354615697438
"86";"UK";2008;"Westminster, Extra-Regio NUTS 3";1,38996042396397
"87";"AL";2009;"Fier, Durrës, Elbasan, Vlorë, Shkodër, Korcë";5,27235772357724
"88";"AT";2009;"Linz-Wels, Graz, Salzburg und Umgebung, Wiener Umland/Südteil, Innsbruck";4,74176660955644
"89";"BE";2009;"Arr. Antwerpen, Arr. Halle-Vilvoorde, Arr. Gent";2,17021276595745
"90";"BG";2009;"Plovdiv, Varna, Burgas, Stara Zagora, Sofia, Blagoevgrad, Ruse, Veliko Tarnovo, Pazardzhik, Pleven";9,36038186157518
"91";"CZ";2009;"Stredoceský kraj, Jihomoravský kraj, Moravskoslezský kraj";2,47115854083839
"92";"DE";2009;"Hamburg, München, Kreisfreie Stadt";1,09542100475083
"93";"DK";2009;"?stjylland, K?benhavns omegn";1,24219134890137
"94";"EE";2009;"L?una-Eesti, Lääne-Eesti, Kirde-Eesti, Kesk-Eesti";4
"95";"EL";2009;"Thessaloniki, Voreios Tomeas Athinon, Anatoliki Attiki";2,06582560296846
"96";"ES";2009;"Barcelona, Valencia / Val?ncia";1,91985292785858
"97";"FI";2009;"Pirkanmaa, Varsinais-Suomi, Pohjois-Pohjanmaa, Keski-Suomi, Satakunta, Pohjois-Savo, Pohjanmaa, Päijät-Häme";7,1034155597723
"98";"FR";2009;"Hauts-de-Seine, Nord (FR)";1,68084047876855
"99";"HR";2009;"Splitsko-dalmatinska zupanija, Primorsko-goranska zupanija, Istarska zupanija, Osjecko-baranjska zupanija, Zagrebacka zupanija";4,57592024539877
"100";"HU";2009;"Pest, Gyor-Moson-Sopron, Borsod-Abaúj-Zemplén, Hajdú-Bihar, Fejér, Bács-Kiskun, Csongrád, Komárom-Esztergom, Szabolcs-Szatmár-Bereg";8,75367904695165
"101";"IE";2009;"South-West (IE), Mid-East, Border, South-East (IE)";3,87850904553961
"102";"IT";2009;"Milano, Torino";1,06161537163975
"103";"LT";2009;"Kauno apskritis, Klaipedos apskritis, Siauliu apskritis";2,97819314641745
"104";"LV";2009;"Pieriga, Kurzeme, Latgale, Zemgale, Vidzeme";5
"105";"MK";2009;"Pelagoniski, Jugoistocen, Poloski, Istocen, Jugozapaden, Vardarski";5,21935483870968
"106";"MT";2009;"Gozo and Comino / Ghawdex u Kemmuna, Extra-Regio NUTS 3";2
"107";"NL";2009;"Groot-Rijnmond, Utrecht";1,38948770086193
"108";"PL";2009;"Miasto Kraków, Miasto Poznan, Region Katowicki, Region Trojmiejski, Miasto Wroclaw";4,47063197026022
"109";"PT";2009;"Área Metropolitana do Porto, Algarve, Regi?o de Coimbra, Regi?o de Aveiro, Cávado, Ave, Oeste, Regi?o de Leiria";7,84556225316982
"110";"RO";2009;"Timis, Cluj, Prahova, Constanta, Arges, Brasov";5,7113117632305
"111";"SE";2009;"Västra Götalands län, Sk?ne län, Östergötlands län";2,76700639962076
"112";"SI";2009;"Podravska, Savinjska, Gorenjska, Jugovzhodna Slovenija";3,69873949579832
"113";"SK";2009;"Trnavský kraj, Kosický kraj, Zilinský kraj";2,487702037948
"114";"UK";2009;"Westminster, Berkshire";1,50336357292394
"115";"AL";2011;"Fier, Durrës, Elbasan, Vlorë, Shkodër";4,38324420677362
"116";"AT";2011;"Linz-Wels, Graz, Salzburg und Umgebung, Wiener Umland/Südteil, Innsbruck";4,57990988603234
"117";"BE";2011;"Arr. Antwerpen, Arr. Halle-Vilvoorde, Arr. Gent";2,16155858717997
"118";"BG";2011;"Plovdiv, Varna, Burgas, Stara Zagora, Sofia, Blagoevgrad, Pazardzhik, Ruse, Veliko Tarnovo, Pleven, Vratsa";10,1779359430605
"119";"CZ";2011;"Stredoceský kraj, Jihomoravský kraj, Moravskoslezský kraj";2,34742580254391
"120";"DE";2011;"Hamburg, München, Kreisfreie Stadt";1,14090830797497
"121";"DK";2011;"K?benhavns omegn, ?stjylland";1,31305299644258
"122";"EE";2011;"L?una-Eesti, Kirde-Eesti, Lääne-Eesti, Kesk-Eesti";4
"123";"EL";2011;"Thessaloniki, Voreios Tomeas Athinon";1,99514480889742
"124";"ES";2011;"Barcelona, Valencia / Val?ncia";1,95505101571836
"125";"FI";2011;"Pirkanmaa, Varsinais-Suomi, Pohjois-Pohjanmaa, Keski-Suomi, Satakunta, Pohjois-Savo, Pohjanmaa";6,83784601421873
"126";"FR";2011;"Hauts-de-Seine, Rhône";1,7007724661187
"127";"HR";2011;"Primorsko-goranska zupanija, Splitsko-dalmatinska zupanija, Istarska zupanija, Osjecko-baranjska zupanija, Zagrebacka zupanija";4,89282868525896
"128";"HU";2011;"Pest, Gyor-Moson-Sopron, Borsod-Abaúj-Zemplén, Hajdú-Bihar, Fejér, Bács-Kiskun, Komárom-Esztergom, Csongrád";7,9650416933932
"129";"IE";2011;"South-West (IE), West, Mid-East, South-East (IE)";3,81042400122455
"130";"IT";2011;"Roma, Torino";1,05540221666071
"131";"LT";2011;"Kauno apskritis, Klaipedos apskritis, Siauliu apskritis";2,82071031236628
"132";"LV";2011;"Pieriga, Kurzeme, Latgale, Zemgale, Vidzeme";5
"133";"MK";2011;"Pelagoniski, Jugoistocen, Istocen, Jugozapaden, Poloski";4,52389078498294
"134";"MT";2011;"Gozo and Comino / Ghawdex u Kemmuna, Extra-Regio NUTS 3";2
"135";"NL";2011;"Groot-Rijnmond, Utrecht";1,46849344279774
"136";"NO";2011;"Oslo, Hordaland";1,99811340903428
"137";"PL";2011;"Miasto Kraków, Region Trojmiejski, Miasto Poznan, Region Katowicki, Miasto Wroclaw";4,5434941139702
"138";"PT";2011;"Área Metropolitana do Porto, Algarve, Regi?o de Coimbra, Regi?o de Aveiro, Ave, Cávado, Oeste, Regi?o de Leiria";7,7441182594212
"139";"RO";2011;"Timis, Cluj, Constanta, Prahova, Brasov, Arges, Iasi";6,62982860066513
"140";"SE";2011;"Västra Götalands län, Sk?ne län, Östergötlands län";2,7666954696951
"141";"SI";2011;"Podravska, Savinjska, Gorenjska, Jugovzhodna Slovenija";3,58864664747018
"142";"SK";2011;"Trnavský kraj, Kosický kraj, Nitriansky kraj";2,43276314146585
"143";"UK";2011;"Westminster, Berkshire";1,52048550904137
"144";"AL";2012;"Fier, Durrës, Elbasan, Vlorë, Korcë";4,32142857142857
"145";"AT";2012;"Linz-Wels, Graz, Salzburg und Umgebung, Wiener Umland/Südteil, Innsbruck";4,49821458935555
"146";"BE";2012;"Arr. Antwerpen, Arr. Halle-Vilvoorde, Arr. Gent";2,11336107258437
"147";"BG";2012;"Plovdiv, Varna, Burgas, Stara Zagora, Sofia, Blagoevgrad, Pazardzhik, Ruse, Veliko Tarnovo, Vratsa";9,62096774193548
"148";"CZ";2012;"Stredoceský kraj, Jihomoravský kraj, Moravskoslezský kraj";2,29496093028979
"149";"DE";2012;"Hamburg, München, Kreisfreie Stadt";1,13145334325875
"150";"DK";2012;"K?benhavns omegn, ?stjylland";1,30452699474439
"151";"EE";2012;"L?una-Eesti, Kirde-Eesti, Lääne-Eesti, Kesk-Eesti";4
"152";"EL";2012;"Thessaloniki, Voreios Tomeas Athinon, Anatoliki Attiki";2,02181818181818
"153";"ES";2012;"Barcelona, Valencia / Val?ncia, Sevilla";2,00907651416615
"154";"FI";2012;"Pirkanmaa, Varsinais-Suomi, Pohjois-Pohjanmaa, Keski-Suomi, Satakunta, Pohjois-Savo, Pohjanmaa";6,82039192574039
"155";"FR";2012;"Hauts-de-Seine, Rhône";1,69939909327467
"156";"HR";2012;"Primorsko-goranska zupanija, Splitsko-dalmatinska zupanija, Istarska zupanija, Zagrebacka zupanija, Osjecko-baranjska zupanija";4,85877551020408
"157";"HU";2012;"Pest, Gyor-Moson-Sopron, Borsod-Abaúj-Zemplén, Hajdú-Bihar, Fejér, Bács-Kiskun, Szabolcs-Szatmár-Bereg, Csongrád, Komárom-Esztergom";8,19862340216322
"158";"IE";2012;"South-West (IE), West, Mid-East, South-East (IE)";3,9313672922252
"159";"IT";2012;"Roma, Torino";1,08946742041059
"160";"LT";2012;"Kauno apskritis, Klaipedos apskritis, Siauliu apskritis";2,91061452513966
"161";"LV";2012;"Pieriga, Kurzeme, Zemgale, Latgale, Vidzeme";5
"162";"MK";2012;"Pelagoniski, Jugoistocen, Istocen, Jugozapaden, Vardarski";4,79966044142615
"163";"MT";2012;"Gozo and Comino / Ghawdex u Kemmuna, Extra-Regio NUTS 3";2
"164";"NL";2012;"Groot-Rijnmond, Utrecht";1,4699721290231
"165";"NO";2012;"Oslo, Hordaland";1,90266380507512
"166";"PL";2012;"Miasto Kraków, Region Trojmiejski, Miasto Poznan, Region Katowicki, Miasto Wroclaw";4,58817031532436
"167";"PT";2012;"Área Metropolitana do Porto, Algarve, Regi?o de Coimbra, Regi?o de Aveiro, Ave, Cávado, Oeste, Regi?o de Leiria";7,35364267129228
"168";"RO";2012;"Timis, Constanta, Cluj, Prahova, Brasov, Ilfov, Iasi";6,10575703778849
"169";"SE";2012;"Västra Götalands län, Sk?ne län, Östergötlands län";2,87239075158181
"170";"SI";2012;"Podravska, Savinjska, Gorenjska, Jugovzhodna Slovenija";3,65004262574595
"171";"SK";2012;"Trnavský kraj, Kosický kraj, Nitriansky kraj";2,38222168616572
"172";"UK";2012;"Westminster, Berkshire";1,51757869466694
"173";"AL";2010;"Fier, Durrës, Elbasan, Vlorë, Shkodër";4,66542750929368
"174";"AT";2010;"Linz-Wels, Graz, Salzburg und Umgebung, Wiener Umland/Südteil, Innsbruck";4,6784390063033
"175";"BE";2010;"Arr. Antwerpen, Arr. Halle-Vilvoorde, Arr. Gent";2,14224744168
"176";"BG";2010;"Plovdiv, Varna, Burgas, Stara Zagora, Sofia, Blagoevgrad, Pazardzhik, Veliko Tarnovo, Ruse, Pleven, Vratsa";10,6620603015075
"177";"CZ";2010;"Stredoceský kraj, Jihomoravský kraj, Moravskoslezský kraj";2,48865710560626
"178";"DE";2010;"Hamburg, München, Kreisfreie Stadt";1,1064292344521
"179";"DK";2010;"K?benhavns omegn, ?stjylland";1,35052160020049
"180";"EE";2010;"L?una-Eesti, Lääne-Eesti, Kirde-Eesti, Kesk-Eesti";4
"181";"EL";2010;"Thessaloniki, Voreios Tomeas Athinon, Anatoliki Attiki";2,04155607795556
"182";"ES";2010;"Barcelona, Valencia / Val?ncia";1,88244576652398
"183";"FI";2010;"Pirkanmaa, Varsinais-Suomi, Pohjois-Pohjanmaa, Keski-Suomi, Satakunta, Pohjois-Savo, Pohjanmaa, Päijät-Häme";7,2936988252047
"184";"FR";2010;"Hauts-de-Seine, Rhône";1,77563061137238
"185";"HR";2010;"Splitsko-dalmatinska zupanija, Primorsko-goranska zupanija, Istarska zupanija, Osjecko-baranjska zupanija, Zagrebacka zupanija";4,95075295075295
"186";"HU";2010;"Pest, Gyor-Moson-Sopron, Borsod-Abaúj-Zemplén, Hajdú-Bihar, Fejér, Bács-Kiskun, Komárom-Esztergom, Csongrád, Szabolcs-Szatmár-Bereg";8,26342281879195
"187";"IE";2010;"South-West (IE), Mid-East, West, South-East (IE), Mid-West";4,24760044168861
"188";"IT";2010;"Roma, Torino";1,05800778944884
"189";"LT";2010;"Kauno apskritis, Klaipedos apskritis, Siauliu apskritis";2,93204819277108
"190";"LV";2010;"Pieriga, Kurzeme, Zemgale, Latgale, Vidzeme";5
"191";"MK";2010;"Pelagoniski, Jugoistocen, Istocen, Jugozapaden, Poloski";4,5985401459854
"192";"MT";2010;"Gozo and Comino / Ghawdex u Kemmuna, Extra-Regio NUTS 3";2
"193";"NL";2010;"Groot-Rijnmond, Utrecht";1,44672138476119
"194";"PL";2010;"Miasto Kraków, Miasto Poznan, Region Katowicki, Region Trojmiejski, Miasto Wroclaw";4,62422663627483
"195";"PT";2010;"Área Metropolitana do Porto, Algarve, Regi?o de Coimbra, Regi?o de Aveiro, Ave, Cávado, Oeste, Regi?o de Leiria";7,79514603044015
"196";"RO";2010;"Timis, Cluj, Constanta, Prahova, Brasov, Arges, Iasi";6,12393272962484
"197";"SE";2010;"Västra Götalands län, Sk?ne län, Östergötlands län";2,57830513045237
"198";"SI";2010;"Podravska, Savinjska, Gorenjska, Jugovzhodna Slovenija";3,63511259382819
"199";"SK";2010;"Trnavský kraj, Kosický kraj, Zilinský kraj";2,47709216101695
"200";"UK";2010;"Westminster, Berkshire";1,52989701418973
"201";"AT";2004;"Linz-Wels, Graz, Salzburg und Umgebung, Wiener Umland/Südteil, Innsbruck";4,74361272971761
"202";"BE";2004;"Arr. Antwerpen, Arr. Halle-Vilvoorde, Arr. Gent";2,20236578707916
"203";"BG";2004;"Plovdiv, Varna, Burgas, Stara Zagora, Blagoevgrad, Sofia";5,71407407407407
"204";"CZ";2004;"Stredoceský kraj, Jihomoravský kraj, Moravskoslezský kraj";2,34264119252572
"205";"DE";2004;"Berlin, München, Kreisfreie Stadt";1,00856118927529
"206";"DK";2004;"?stjylland, K?benhavns omegn";1,2734555947906
"207";"EE";2004;"L?una-Eesti, Lääne-Eesti, Kirde-Eesti, Kesk-Eesti";4
"208";"EL";2004;"Thessaloniki, Voreios Tomeas Athinon, Peiraias, Nisoi";2,13271417411683
"209";"ES";2004;"Barcelona, Valencia / Val?ncia";1,75213387996505
"210";"FI";2004;"Pirkanmaa, Varsinais-Suomi, Pohjois-Pohjanmaa, Keski-Suomi, Satakunta, Pohjois-Savo, Kymenlaakso";6,08222142084385
"211";"FR";2004;"Hauts-de-Seine, Nord (FR)";1,87103653496446
"212";"HR";2004;"Splitsko-dalmatinska zupanija, Primorsko-goranska zupanija, Istarska zupanija, Osjecko-baranjska zupanija, Zagrebacka zupanija";4,38843868179362
"213";"HU";2004;"Pest, Gyor-Moson-Sopron, Borsod-Abaúj-Zemplén, Hajdú-Bihar, Fejér, Bács-Kiskun, Komárom-Esztergom, Csongrád";7,01729212656365
"214";"IE";2004;"South-West (IE), South-East (IE), Mid-East, Border";3,63162878787879
"215";"IT";2004;"Milano, Torino";1,15578457661616
"216";"LT";2004;"Kauno apskritis, Klaipedos apskritis, Siauliu apskritis";2,71703296703297
"217";"LV";2004;"Kurzeme, Pieriga, Latgale, Zemgale, Vidzeme";5
"218";"MK";2004;"Pelagoniski, Jugozapaden, Jugoistocen, Poloski, Vardarski";4,71779141104294
"219";"MT";2004;"Gozo and Comino / Ghawdex u Kemmuna, Extra-Regio NUTS 3";2
"220";"NL";2004;"Groot-Rijnmond, Utrecht";1,41099286889742
"221";"PL";2004;"Miasto Kraków, Miasto Poznan, Region Katowicki, Region Trojmiejski, Miasto Lódz";4,12762059841238
"222";"PT";2004;"Área Metropolitana do Porto, Algarve, Regi?o de Coimbra, Regi?o de Aveiro, Ave, Oeste, Cávado, Regi?o de Leiria";7,58722300801509
"223";"RO";2004;"Constanta, Timis, Cluj, Prahova, Arges, Brasov";5,05996924654024
"224";"SE";2004;"Västra Götalands län, Sk?ne län, Östergötlands län";2,19025312294543
"225";"SI";2004;"Podravska, Savinjska, Gorenjska, Jugovzhodna Slovenija";3,30420884389984
"226";"SK";2004;"Kosický kraj, Nitriansky kraj, Trnavský kraj";2,09246392303581
"227";"UK";2004;"Westminster, Berkshire";1,30237958441061
"228";"AT";2002;"Linz-Wels, Graz, Salzburg und Umgebung, Wiener Umland/Südteil, Innsbruck, Rheintal-Bodenseegebiet";5,09509163142381
"229";"BG";2002;"Plovdiv, Varna, Stara Zagora, Burgas, Veliko Tarnovo, Pleven";5,80817051509769
"230";"CZ";2002;"Stredoceský kraj, Jihomoravský kraj, Moravskoslezský kraj";2,25605326876513
"231";"DE";2002;"Hamburg, München, Kreisfreie Stadt";1,03216559223719
"232";"DK";2002;"?stjylland, Sydjylland";1,25030341075539
"233";"EE";2002;"L?una-Eesti, Lääne-Eesti, Kirde-Eesti, Kesk-Eesti";4
"234";"EL";2002;"Thessaloniki, Voreios Tomeas Athinon, Peiraias, Nisoi";2,16421698212964
"235";"ES";2002;"Barcelona, Valencia / Val?ncia";1,72169931315187
"236";"FI";2002;"Varsinais-Suomi, Pirkanmaa, Pohjois-Pohjanmaa, Keski-Suomi, Satakunta, Pohjois-Savo, Kymenlaakso";6,08094960108971
"237";"FR";2002;"Hauts-de-Seine, Nord (FR)";1,98564115370209
"238";"HR";2002;"Splitsko-dalmatinska zupanija, Primorsko-goranska zupanija, Istarska zupanija, Osjecko-baranjska zupanija, Zagrebacka zupanija";4,29525593008739
"239";"HU";2002;"Pest, Gyor-Moson-Sopron, Borsod-Abaúj-Zemplén, Hajdú-Bihar, Fejér, Bács-Kiskun, Csongrád, Szabolcs-Szatmár-Bereg";7,64147702876771
"240";"IE";2002;"South-West (IE), South-East (IE), Mid-East";2,86145346366341
"241";"IT";2002;"Milano, Torino";1,11907661172758
"242";"LT";2002;"Kauno apskritis, Klaipedos apskritis, Siauliu apskritis, Panevezio apskritis";3,42134314627415
"243";"LV";2002;"Kurzeme, Pieriga, Latgale, Zemgale, Vidzeme";5
"244";"MK";2002;"Pelagoniski, Jugozapaden, Poloski, Jugoistocen, Vardarski";4,69896193771626
"245";"MT";2002;"Gozo and Comino / Ghawdex u Kemmuna, Extra-Regio NUTS 3";2
"246";"NL";2002;"Groot-Rijnmond, Utrecht";1,41341202205715
"247";"PL";2002;"Region Katowicki, Miasto Kraków, Miasto Poznan, Region Trojmiejski, Miasto Wroclaw";4,18106280193237
"248";"PT";2002;"Área Metropolitana do Porto, Algarve, Regi?o de Coimbra, Regi?o de Aveiro, Ave, Cávado, Oeste, Regi?o de Leiria";7,24199288256228
"249";"RO";2002;"Constanta, Cluj, Prahova, Timis, Brasov";4,95169637722829
"250";"SE";2002;"Västra Götalands län, Sk?ne län, Östergötlands län";2,05491179522657
"251";"SI";2002;"Podravska, Savinjska, Gorenjska, Jugovzhodna Slovenija";3,05889351576443
"252";"SK";2002;"Kosický kraj, Nitriansky kraj, Banskobystrický kraj";2,10501792114695
"253";"UK";2002;"Westminster, Berkshire";1,18923590833703
"254";"AT";2006;"Linz-Wels, Graz, Salzburg und Umgebung, Wiener Umland/Südteil, Innsbruck";4,73510134113139
"255";"BE";2006;"Arr. Antwerpen, Arr. Halle-Vilvoorde, Arr. Gent";2,09083263246426
"256";"BG";2006;"Plovdiv, Varna, Burgas, Stara Zagora, Sofia, Blagoevgrad, Pazardzhik, Ruse";7,07799442896936
"257";"CZ";2006;"Stredoceský kraj, Moravskoslezský kraj, Jihomoravský kraj";2,39875644277182
"258";"DE";2006;"Hamburg, München, Kreisfreie Stadt";1,01571816405754
"259";"DK";2006;"?stjylland, K?benhavns omegn";1,24366845740599
